ST,INSTRUMENT_ID,QUESTION,ANSWER_ID,ANSWER_TEXT,ESTIMATE_PERCENTAGE,SE
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",1,Large negative effect,32.00%,1.95%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",2,Moderate negative effect,44.00%,2.15%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",3,Little or no effect,19.20%,1.39%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",4,Moderate positive effect,4.30%,0.94%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",1,$0 - $500,7.20%,1.06%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",2,"$501 - $2,500",3.60%,0.78%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",3,"$2,501 - $5,000",3.30%,0.82%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",4,"$5,001 - $15,000",10.90%,1.42%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",5,"$15,001 - $50,000",19.40%,0.85%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",6,"$50,001 - $125,000",18.60%,1.05%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",7,"$125,001 - $200,000",8.20%,1.04%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",8,"$200,001 - $500,000",13.10%,1.32%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",9,"$500,001 or more",8.70%,0.80%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",10,Don't know,6.80%,0.94%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",1,"Yes, increased",11.30%,0.89%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",2,"Yes, decreased",26.10%,1.94%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",3,No change,62.70%,2.27%
IL,5,"In the last week, did this business do any of the following?",4,None of the above,97.90%,0.42%
IL,6,"In the last week, did this business have a change in the number of paid employees?",1,"Yes, increased",6.70%,0.76%
IL,6,"In the last week, did this business have a change in the number of paid employees?",2,"Yes, decreased",8.50%,1.27%
IL,6,"In the last week, did this business have a change in the number of paid employees?",3,No change,84.80%,1.07%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",1,"Yes, increased",9.50%,0.94%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",2,"Yes, decreased",14.20%,1.44%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",3,No change,76.30%,1.39%
IL,8,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",1,Yes,7.40%,0.86%
IL,8,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",2,No,70.80%,2.16%
IL,8,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",21.80%,1.64%
IL,9,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",1,Yes,1.30%,0.50%
IL,9,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",2,No,78.30%,1.79%
IL,9,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",20.40%,1.43%
IL,10,"In the last week, did this business have any of the following?",1,Domestic supplier delays,25.70%,1.85%
IL,10,"In the last week, did this business have any of the following?",2,Foreign supplier delays,9.10%,1.58%
IL,10,"In the last week, did this business have any of the following?",3,Difficulty locating alternative domestic suppliers,9.70%,1.09%
IL,10,"In the last week, did this business have any of the following?",4,Difficulty locating alternative foreign suppliers,2.40%,0.62%
IL,10,"In the last week, did this business have any of the following?",5,Production delays at this business,8.70%,1.12%
IL,10,"In the last week, did this business have any of the following?",6,Delays in delivery / shipping to customers,17.80%,1.88%
IL,10,"In the last week, did this business have any of the following?",7,None of the above,64.80%,2.80%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",1,Availability of employees to work,10.80%,1.09%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",2,Ability of employees to work from home,2.30%,0.57%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",4,Availability of COVID-19 vaccine for employees,3.70%,0.83%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",5,Physical distancing of employees,7.10%,0.76%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",6,"Physical distancing of customers or clients and/or limits on the number of
concurrent customers or clients",16.00%,1.60%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",7,"Availability of Personal Protective Equipment (PPE) and/or related equipment or
supplies",2.50%,0.58%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",8,Availability of other supplies or inputs used to provide good or services,8.90%,0.81%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",9,None of the above,67.10%,1.46%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,2,Operating capacity has increased less than 50%,4.60%,0.77%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,3,No change in operating capacity,46.50%,1.31%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,4,Operating capacity has decreased less than 50%,31.90%,0.78%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,5,Operating capacity has decreased 50% or more,16.10%,0.90%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",1,"Yes, increased",1.10%,0.37%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",2,"Yes, decreased",4.70%,0.61%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",3,No change,78.60%,1.57%
IL,13,"Since March 13, 2020, did this business change the amount of square footage leased/rented for operations?",4,"Not applicable, this business does not lease/rent space.",15.60%,1.22%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",1,Canceled planned capital expenditures,12.90%,1.01%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",2,Postponed planned capital expenditures,20.00%,1.16%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",3,Decreased planned capital expenditures,13.20%,1.15%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",4,Increased planned capital expenditures,1.40%,0.33%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",5,Introduced new unplanned capital expenditures,6.00%,0.86%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",6,This business had no changes to planned capital expenditures for 2020.,23.10%,0.99%
IL,14,"Since March 13, 2020, what changes did this business make to its planned capital expenditures for 2020?",7,This business had no planned capital expenditures for 2020.,35.50%,1.11%
