ST,INSTRUMENT_ID,QUESTION,ANSWER_ID,ANSWER_TEXT,ESTIMATE_PERCENTAGE,SE,Cluster
0,2,40,1,78,0.32,0.0195,2
0,2,40,2,96,0.44,0.0215,2
0,2,40,3,85,0.192,0.0139,2
0,2,40,4,97,0.043,0.009399999999999999,2
0,3,12,1,0,0.07200000000000001,0.0106,1
0,3,12,2,8,0.036000000000000004,0.0078000000000000005,1
0,3,12,3,3,0.033,0.008199999999999999,1
0,3,12,4,5,0.109,0.014199999999999999,1
0,3,12,5,2,0.19399999999999998,0.0085,1
0,3,12,6,6,0.18600000000000003,0.0105,1
0,3,12,7,1,0.08199999999999999,0.0104,1
0,3,12,8,4,0.131,0.0132,1
0,3,12,9,7,0.087,0.008,1
0,3,12,10,46,0.068,0.009399999999999999,1
0,4,17,1,161,0.113,0.0089,2
0,4,17,2,160,0.261,0.0194,2
0,4,17,3,101,0.627,0.0227,2
0,5,14,4,103,0.9790000000000001,0.0042,1
0,6,18,1,161,0.067,0.0076,2
0,6,18,2,160,0.085,0.0127,2
0,6,18,3,101,0.848,0.010700000000000001,2
0,7,20,1,161,0.095,0.009399999999999999,2
0,7,20,2,160,0.142,0.0144,2
0,7,20,3,101,0.763,0.0139,2
0,8,26,1,159,0.07400000000000001,0.0086,2
0,8,26,2,99,0.708,0.0216,2
0,8,26,3,105,0.218,0.016399999999999998,2
0,9,25,1,159,0.013000000000000001,0.005,2
0,9,25,2,99,0.7829999999999999,0.0179,2
0,9,25,3,105,0.204,0.0143,2
0,10,21,1,45,0.257,0.018500000000000003,2
0,10,21,2,52,0.091,0.0158,2
0,10,21,3,43,0.09699999999999999,0.0109,1
0,10,21,4,44,0.024,0.0062,1
0,10,21,5,130,0.087,0.011200000000000002,2
0,10,21,6,39,0.17800000000000002,0.018799999999999997,1
0,10,21,7,103,0.648,0.027999999999999997,2
0,11,30,1,26,0.10800000000000001,0.0109,1
0,11,30,2,17,0.023,0.005699999999999999,1
0,11,30,4,22,0.037000000000000005,0.0083,1
0,11,30,5,128,0.071,0.0076,0
0,11,30,6,126,0.16,0.016,2
0,11,30,7,23,0.025,0.0058,1
0,11,30,8,27,0.08900000000000001,0.008100000000000001,1
0,11,30,9,103,0.6709999999999999,0.0146,0
0,12,11,2,114,0.046,0.0077,2
0,12,11,3,102,0.465,0.0131,2
0,12,11,4,112,0.319,0.0078000000000000005,2
0,12,11,5,111,0.161,0.009000000000000001,2
0,13,43,1,161,0.011000000000000001,0.0037,0
0,13,43,2,160,0.047,0.0060999999999999995,0
0,13,43,3,101,0.7859999999999999,0.015700000000000002,0
0,13,43,4,106,0.156,0.012199999999999999,0
0,14,51,1,32,0.129,0.0101,0
0,14,51,2,129,0.2,0.0116,0
0,14,51,3,37,0.132,0.0115,0
0,14,51,4,66,0.013999999999999999,0.0033,0
0,14,51,5,69,0.06,0.0086,0
0,14,51,6,144,0.231,0.009899999999999999,0
0,14,51,7,146,0.355,0.0111,0
0,15,42,1,122,0.253,0.0146,0
0,15,42,2,123,0.39299999999999996,0.0115,0
0,15,42,3,121,0.233,0.0137,0
0,15,42,4,47,0.098,0.0158,0
0,15,42,5,119,0.063,0.0092,0
0,15,42,6,48,0.031,0.004699999999999999,0
0,15,42,7,116,0.016,0.0067,0
0,15,42,8,136,0.053,0.0053,0
0,15,42,9,30,0.033,0.0077,0
0,15,42,10,118,0.069,0.0129,0
0,15,42,11,49,0.017,0.0051,0
0,15,42,12,117,0.017,0.0040999999999999995,0
0,15,42,13,153,0.42,0.0139,0
0,16,41,1,120,0.406,0.015300000000000001,0
0,16,41,2,121,0.2,0.014499999999999999,0
0,16,41,3,47,0.066,0.0106,0
0,16,41,4,119,0.045,0.0078000000000000005,0
0,16,41,5,48,0.012,0.0048,0
0,16,41,6,116,0.015,0.0054,0
0,16,41,7,136,0.033,0.0053,0
0,16,41,8,30,0.019,0.0058,0
0,16,41,9,118,0.066,0.0088,0
0,16,41,10,49,0.012,0.0043,0
0,16,41,12,151,0.501,0.0151,0
0,17,32,1,159,0.27399999999999997,0.014499999999999999,2
0,17,32,2,99,0.39,0.018500000000000003,0
0,17,32,3,107,0.336,0.0116,0
0,18,34,1,109,0.213,0.0055000000000000005,0
0,18,34,2,57,0.11199999999999999,0.0141,0
0,18,34,3,40,0.122,0.0168,0
0,18,34,4,65,0.326,0.0208,0
0,18,34,5,80,0.131,0.020099999999999996,0
0,18,34,6,56,0.28300000000000003,0.018000000000000002,0
0,18,34,7,87,0.11699999999999999,0.0101,0
0,18,34,8,31,0.094,0.0077,0
0,18,34,9,125,0.022000000000000002,0.0051,0
0,18,34,10,103,0.34700000000000003,0.0231,0
0,19,37,2,13,0.045,0.0067,0
0,19,37,3,16,0.147,0.0108,0
0,19,37,4,98,0.465,0.0171,0
0,19,37,5,55,0.085,0.011200000000000002,0
0,19,37,6,157,0.016,0.0039000000000000003,0
0,19,37,7,139,0.154,0.0132,0
0,19,37,8,158,0.083,0.0131,0
0,2,40,1,78,0.259,0.022799999999999997,2
0,2,40,2,96,0.426,0.0226,2
0,2,40,3,85,0.254,0.020099999999999996,2
0,2,40,4,97,0.052000000000000005,0.008100000000000001,2
0,2,40,5,79,0.009000000000000001,0.0023,1
0,3,12,1,0,0.040999999999999995,0.0098,1
0,3,12,2,8,0.013000000000000001,0.0043,1
0,3,12,3,3,0.053,0.0079,1
0,3,12,4,5,0.081,0.0158,1
0,3,12,5,2,0.188,0.0089,1
0,3,12,6,6,0.16899999999999998,0.015,1
0,3,12,7,1,0.10099999999999999,0.010700000000000001,1
0,3,12,8,4,0.135,0.0154,1
0,3,12,9,7,0.139,0.0075,1
0,3,12,10,46,0.081,0.0144,1
0,4,17,1,161,0.044000000000000004,0.0040999999999999995,2
0,4,17,2,160,0.369,0.0149,2
0,4,17,3,101,0.588,0.0172,2
0,5,14,2,137,0.037000000000000005,0.008100000000000001,2
0,5,14,3,124,0.015,0.0049,2
0,5,14,4,103,0.9470000000000001,0.009899999999999999,2
0,6,18,1,161,0.036000000000000004,0.0068000000000000005,2
0,6,18,2,160,0.139,0.0102,2
0,6,18,3,101,0.825,0.013000000000000001,2
0,7,20,1,161,0.027000000000000003,0.005600000000000001,2
0,7,20,2,160,0.27399999999999997,0.0118,2
0,7,20,3,101,0.6990000000000001,0.0137,2
0,8,25,1,159,0.158,0.0134,2
0,8,25,2,99,0.6509999999999999,0.0159,2
0,8,25,3,105,0.191,0.013999999999999999,2
0,9,26,1,159,0.14300000000000002,0.0165,2
0,9,26,2,99,0.6609999999999999,0.024399999999999998,2
0,9,26,3,105,0.195,0.016399999999999998,2
0,10,22,1,159,0.266,0.0196,2
0,10,22,2,99,0.287,0.0176,2
0,10,22,3,104,0.447,0.0199,2
0,11,21,1,45,0.413,0.0163,2
0,11,21,2,52,0.14800000000000002,0.0139,1
0,11,21,3,41,0.17800000000000002,0.0111,1
0,11,21,4,42,0.061,0.006500000000000001,1
0,11,21,5,130,0.126,0.0091,2
0,11,21,6,39,0.245,0.015,1
